directory,action,left,right
./data/breakages/casper_1774,UPDATED,159,159
./data/breakages/disklrucache_2210,UPDATED,789,790
./data/breakages/dspot_842,MOVED_UPDATED,11676,11494
./data/breakages/cocospoon_1754,UPDATED,131,131
./data/breakages/juliac_789,UPDATED,16726,17417
./data/breakages/jimfs_1890,UPDATED,510,511
./data/breakages/guava_1947,UPDATED,858,857
./data/breakages/jodatime_2082,UPDATED,1804,1807
./data/breakages/gumtreespoonastdiff_2017,UPDATED,1001,302
./data/breakages/cidiff_57,UPDATED,228,228
./data/breakages/cocospoon_1754,UPDATED,130,130
./data/breakages/mimecraft_2316,UPDATED,94,95
./data/breakages/pushcommentgithub_173,UPDATED,34,34
./data/breakages/cidiff_57,UPDATED,362,383
./data/breakages/commonslang_2089,MOVED_UNCHANGED,408,409
./data/breakages/astor_400,MOVED_UNCHANGED,569,567
./data/breakages/guava_1947,UPDATED,1353,1352
./data/breakages/google_auto_693,UPDATED,1804,1822
./data/breakages/jimfs_1890,UPDATED,155,155
./data/breakages/cv_45,UPDATED,235,240
./data/breakages/dspot_842,MOVED_UNCHANGED,4218,1021
./data/breakages/jodatime_2082,UPDATED,263,263
./data/breakages/disklrucache_2210,UPDATED,1324,1324
./data/breakages/assertj_1944,UPDATED,5635,5635
./data/breakages/dspot_842,UPDATED,11096,11091
./data/breakages/cidiff_57,UPDATED,167,167
./data/breakages/guava_2087,UPDATED,887,939
./data/breakages/google_auto_693,UPDATED,27,27
./data/breakages/jodatime_2082,UPDATED,1317,1317
./data/breakages/spoonsnapshotdeployer_4314,UPDATED,28,28
./data/breakages/googleguice_2121,UPDATED,207,725
./data/breakages/google_auto_693,UPDATED,1635,1653
./data/breakages/casper_1774,UPDATED,120,120
./data/breakages/guava_2087,UPDATED,720,772
./data/breakages/guava_2087,UPDATED,1207,1259
./data/breakages/google_auto_693,UPDATED,247,247
./data/breakages/google_auto_693,UPDATED,513,513
./data/breakages/cidiff_57,UPDATED,113,113
./data/breakages/cocospoon_1754,UPDATED,112,112
./data/breakages/spoonsnapshotdeployer_4314,UPDATED,7921,516
./data/breakages/cidiff_75,UPDATED,14,14
./data/breakages/google_auto_693,UPDATED,565,583
./data/breakages/jperturb_1634,UPDATED,869,176
./data/breakages/juliac_789,UPDATED,16061,16752
./data/breakages/jodatime_2082,UPDATED,438,438
./data/breakages/jimfs_1890,UPDATED,666,667
./data/breakages/cv_45,UPDATED,1667,1677
./data/breakages/jodatime_1837,UPDATED,1601,1600
./data/breakages/assertj_1944,MOVED_UNCHANGED,9421,399
./data/breakages/cv_45,UPDATED,510,515
./data/breakages/guava_2087,UPDATED,1472,1524
./data/breakages/cv_45,UPDATED,283,288
./data/breakages/spooncontrolflow_805,UPDATED,27,25
./data/breakages/sorald_265,UPDATED,117,116
./data/breakages/astor_400,MOVED_UNCHANGED,588,588
./data/breakages/npefix_1847,UPDATED,121,121
./data/breakages/commonslang_2089,MOVED_UPDATED,634,635
./data/breakages/nopol_1347,UPDATED,3769,599
./data/breakages/jperturb_1634,UPDATED,112,112
./data/breakages/sorald_265,UPDATED,701,814
./data/breakages/cocospoon_1754,UPDATED,433,177
./data/breakages/gumtreespoonastdiff_2017,UPDATED,1003,304
./data/breakages/casper_1774,UPDATED,27,27
./data/breakages/disklrucache_2210,UPDATED,581,582
./data/breakages/commonscodec_2463,MOVED_UNCHANGED,2012,154
